Nigeria,223804632,15.3
Ethiopia,126527060,8.7
Egypt,111942661,7.7
DR Congo,102262809,7.0
Tanzania,67438106,4.6
South Africa,59414495,4.1
Kenya,55100587,3.8
Uganda,48582334,3.3
Sudan,48109006,3.3
Algeria,45606481,3.1
Morocco,37840044,2.6
Angola,36684203,2.5
Ghana,34121985,2.3
Mozambique,33897354,2.3
Madagascar,30325732,2.1
Ivory Coast,28873034,2.0
Cameroon,28647293,2.0
Niger,27202843,1.9
Mali,23293699,1.6
Burkina Faso,23251485,1.6
Malawi,20931751,1.4
Zambia,20569738,1.4
Chad,18278568,1.3
Somalia,18143379,1.2
Senegal,17763163,1.2
Zimbabwe,16665409,1.1
Guinea,14190612,1.0
Rwanda,14094683,1.0
Benin,13712828,0.9
Burundi,13238559,0.9
Tunisia,12458223,0.9
South Sudan,11088796,0.8
Togo,9053799,0.6
Sierra Leone,8791092,0.6
Libya,6888388,0.5
Republic of the Congo,6106869,0.4
Central African Republic,5742316,0.4
Liberia,5418377,0.4
Mauritania,4862989,0.3
Eritrea,3748902,0.3
Gambia,2773168,0.2
Botswana,2675353,0.2
Namibia,2604172,0.2
Gabon,2436567,0.2
Lesotho,2330318,0.2
Guinea-Bissau,2150842,0.1
Equatorial Guinea,1714672,0.1
Mauritius,1300557,0.1
Eswatini,1210822,0.1
Djibouti,1136455,0.1
Comoros,852075,0.1
Cape Verde,598682,0.04
Western Sahara,587259,0.04
São Tomé and Príncipe,231856,0.02
Seychelles,107660,0.01
